Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
521,1 7 9 9,7.44,94.70%,7.92,3.19
522,2 6 6 6,7.45,95.90%,8.01,3.06
523,2 6 9 11,7.45,95.50%,7.93,3.13
524,3 4 4 7,7.45,90.30%,7.87,3.37
525,2 6 6 13,7.46,84.90%,7.54,3.15
526,8 8 8 12,7.46,88.20%,7.86,3.98
527,3 5 5 7,7.47,89.90%,7.71,3.14
528,4 7 9 9,7.47,86.40%,7.59,3.16
529,5 7 13 13,7.47,94.20%,7.87,3.21
530,1 4 5 5,7.48,95.80%,7.91,2.68
531,1 5 5 6,7.48,94.90%,7.99,3.07
532,4 8 12 13,7.48,91.70%,8.18,3.7
533,5 10 13 13,7.48,92.50%,7.93,2.78
534,2 10 10 13,7.49,90%,7.63,2.85
535,3 3 5 5,7.49,89.40%,7.73,3.16
536,3 7 9 10,7.49,91.90%,8.06,3.46
537,1 2 3 7,7.5,96.10%,8.17,3.2
538,4 4 7 9,7.5,93.20%,7.9,3.39
539,2 2 6 6,7.51,95.80%,8.02,3.05
540,2 6 6 11,7.51,83.20%,7.35,3.13
541,6 7 11 13,7.51,90.10%,7.89,3.44
542,1 2 2 4,7.52,95.50%,7.83,2.44
543,3 5 6 12,7.52,93.40%,8.04,3.23
544,2 2 7 8,7.53,93.70%,7.88,2.98
545,2 4 4 13,7.53,85.40%,7.66,3.38
546,4 4 8 8,7.53,95.60%,8.13,3.2
547,3 6 10 12,7.54,92.90%,8.05,3.43
548,1 2 4 13,7.55,93.60%,7.88,2.93
549,2 4 5 13,7.55,94.70%,8.14,3.25
550,2 7 8 8,7.57,92.60%,7.97,3.08
551,1 2 12 13,7.58,95.90%,8.31,3.37
552,2 3 4 12,7.58,94.20%,8.09,3.28
553,3 4 9 12,7.58,94.50%,8.02,3.08
554,9 11 13 13,7.6,92%,8.11,3.19
555,2 2 4 10,7.61,94.10%,8.01,2.92
556,2 8 12 13,7.61,89.40%,7.86,3.55
557,3 4 4 12,7.61,90.40%,7.91,3.28
558,2 4 4 11,7.62,84.50%,7.62,3.38
559,2 3 5 6,7.63,95%,8.05,2.95
560,2 6 11 13,7.63,89.70%,7.78,3.26
561,3 9 12 12,7.63,90.70%,8.2,3.48
562,5 6 10 10,7.63,86.90%,7.99,3.73
563,1 3 8 12,7.64,96.60%,8.14,2.9
564,2 6 8 11,7.64,93.30%,8.07,3.38
565,1 4 10 11,7.65,95%,8.1,3.15
566,1 9 11 11,7.65,89.70%,7.79,3.02
567,1 4 9 12,7.67,95.90%,8.33,3.37
568,4 8 10 11,7.67,90.40%,7.98,3.45
569,2 2 2 10,7.68,94.10%,8.13,3.33
570,3 6 12 12,7.69,93%,8.24,3.48
571,1 2 9 12,7.7,92.40%,8.32,3.81
572,3 3 4 12,7.7,95%,8.34,3.2
573,4 5 7 8,7.7,95.60%,8.19,3.15
574,4 7 9 10,7.7,90.50%,8.19,3.66
575,4 4 4 5,7.71,84.90%,7.7,3.66
576,5 6 7 8,7.71,93.50%,8.21,3.11
577,1 6 9 13,7.72,90.60%,8.12,3.96
578,2 6 8 10,7.72,93.20%,8.22,3.44
579,3 3 4 7,7.72,90.20%,8.18,3.48
580,6 6 10 12,7.72,93.80%,8.14,3.07
581,8 9 11 13,7.72,90.70%,8.16,3.68
582,3 4 4 9,7.73,90.90%,8.24,3.29
583,3 5 8 11,7.75,89.60%,8.05,3.47
584,6 6 7 10,7.75,84.20%,7.85,4.09
585,6 6 9 12,7.75,92.60%,8.12,3.31
586,1 3 5 11,7.76,93.20%,8.11,2.86
587,1 5 6 10,7.76,91.50%,8.1,3.24
588,3 6 6 9,7.77,96.20%,8.24,2.96
589,1 2 2 5,7.79,94.30%,8.03,2.83
590,1 2 4 11,7.8,91.90%,8.06,2.8
591,2 5 5 11,7.81,82.90%,7.62,3.34
592,3 3 8 9,7.81,88.70%,8.19,3.79
593,3 6 10 10,7.81,85.30%,7.81,3.64
594,5 6 6 6,7.81,87.50%,7.91,3.44
595,8 11 12 12,7.82,77.50%,7.26,3.55
596,1 4 8 11,7.83,95.40%,8.26,2.85
597,5 8 8 9,7.83,87%,8.05,3.92
598,2 2 9 11,7.84,91.50%,8.16,3.28
599,2 7 7 11,7.84,86.60%,7.89,3.67
600,1 4 4 9,7.85,94.10%,8.25,3.34
601,1 4 4 10,7.85,92%,8.06,3.4
602,4 5 10 11,7.85,88.10%,8.28,4.17
603,1 2 6 9,7.86,94.30%,8.4,3.58
604,3 4 12 13,7.86,93.20%,8.45,3.71
605,3 9 10 10,7.86,84.70%,7.73,3.43
606,3 12 12 12,7.86,90.90%,8.17,3.42
607,3 7 12 12,7.87,91.20%,8.23,3.41
608,4 5 8 9,7.87,88.90%,8.25,3.97
609,10 12 13 13,7.87,94.20%,8.32,2.93
610,2 2 6 12,7.88,94.10%,8.48,3.48
611,3 4 5 5,7.88,93.90%,8.56,3.65
612,6 7 8 10,7.88,91.60%,8.4,3.57
613,2 2 4 8,7.89,95.80%,8.41,3.08
614,3 6 7 9,7.89,92.80%,8.34,3.48
615,2 4 6 10,7.9,93.80%,8.32,3.37
616,3 4 7 9,7.9,93.10%,8.33,3.73
617,4 8 9 10,7.9,88.80%,8.1,3.33
618,5 6 10 11,7.91,90.30%,8.22,3.54
619,8 10 13 13,7.91,92.50%,8.29,3.33
620,2 5 6 13,7.92,91.40%,8.41,3.61
621,3 12 12 13,7.92,92.40%,8.3,3.26
622,4 6 8 9,7.92,93.30%,8.35,3.38
623,2 3 5 11,7.93,94.80%,8.43,3.29
624,7 8 11 13,7.93,90.10%,8.48,3.85
625,2 3 3 6,7.95,96.20%,8.45,2.96
626,5 8 8 13,7.95,92.40%,8.33,3.65
627,2 2 3 3,7.96,93.30%,8.29,3.26
628,1 4 6 11,7.97,92.50%,8.28,3.23
629,3 9 12 13,7.97,89.70%,8.44,3.93
630,1 2 5 9,7.98,95%,8.48,3.09
631,2 7 8 11,7.98,94.80%,8.57,3.59
632,1 3 6 9,7.99,93.10%,8.49,3.2
633,3 4 10 12,8,92.40%,8.38,3.5
634,3 7 10 11,8,90.50%,8.27,3.37
635,4 10 12 12,8,92%,8.42,3.34
636,4 4 6 12,8.01,93.90%,8.69,3.77
637,10 11 12 13,8.01,95.80%,8.62,3.48
638,2 5 6 7,8.02,92.30%,8.49,3.62
639,3 5 8 8,8.02,92.10%,8.48,3.85
640,2 2 3 7,8.05,88.10%,8.43,3.8
641,2 8 8 9,8.05,90.20%,8.35,3.34
642,8 10 10 12,8.05,94.30%,8.52,3.4
643,4 8 8 9,8.06,92.30%,8.3,3.05
644,1 5 9 10,8.07,93.50%,8.59,3.77
645,2 3 4 8,8.07,92.50%,8.78,4.01
646,4 7 9 12,8.07,94.90%,8.58,3.25
647,1 1 7 10,8.08,85.10%,8.12,4.24
648,2 4 8 8,8.08,93.90%,8.75,4.12
649,2 7 11 12,8.08,91.50%,8.43,3.4
650,2 4 8 12,8.09,93.80%,8.86,4.19
651,1 3 12 12,8.1,85.50%,8.39,4.52
652,2 4 9 13,8.1,93.60%,8.44,3.5
653,4 5 9 10,8.1,90.60%,8.47,3.64
654,1 3 4 13,8.11,94.10%,8.7,3.66
655,3 7 8 12,8.11,95%,8.61,3.22
656,1 4 5 11,8.12,90.60%,8.37,3.88
657,1 4 9 11,8.12,94.40%,8.78,3.71
658,2 7 9 10,8.12,93.90%,8.52,3.2
659,2 8 9 13,8.12,90.10%,8.37,3.57
660,4 4 10 12,8.13,90.60%,8.54,3.93
661,3 4 9 11,8.14,89.80%,8.4,4.03
662,4 6 8 12,8.14,94.20%,8.76,3.48
663,1 5 5 13,8.15,93.30%,8.37,3.21
664,3 6 9 10,8.15,92.40%,8.48,3.56
665,2 8 9 10,8.16,88.80%,8.35,3.78
666,3 5 6 6,8.16,92.20%,8.67,3.6
667,5 8 11 13,8.16,88.80%,8.32,3.37
668,6 8 8 10,8.16,91%,8.62,4.02
669,2 4 8 11,8.17,92.70%,8.49,3.62
670,5 5 8 8,8.18,84.80%,8.36,3.85
671,5 5 8 9,8.19,89.60%,8.64,3.88
672,9 10 12 13,8.19,93.50%,8.76,3.56
673,1 3 6 13,8.2,91.80%,8.44,3.17
674,2 2 6 10,8.21,95.10%,8.64,3.02
675,1 8 11 13,8.22,88.20%,8.32,3.55
676,2 2 4 11,8.24,91.50%,8.59,3.66
677,5 8 9 11,8.24,89.90%,8.49,3.67
678,3 4 5 10,8.26,90.30%,8.62,3.99
679,1 2 8 9,8.28,93.40%,8.87,3.42
680,1 6 11 12,8.28,88.80%,8.26,2.97
681,2 5 10 11,8.28,94.10%,8.85,3.5
682,5 6 9 10,8.28,90.80%,8.74,3.78
683,1 3 4 9,8.3,94.50%,8.8,3.81
684,3 4 7 10,8.3,93.30%,8.54,3.42
685,6 6 7 9,8.3,90.70%,8.63,3.71
686,6 8 8 11,8.3,87.70%,8.55,3.82
687,2 4 4 4,8.31,94.60%,8.76,3.19
688,2 9 10 11,8.33,88.70%,8.3,3.31
689,4 4 8 11,8.33,87%,8.32,3.69
690,4 4 4 9,8.34,88.30%,8.43,3.94
691,6 8 10 13,8.36,86.60%,8.43,3.64
692,2 8 8 11,8.37,84%,8.09,3.45
693,4 7 8 9,8.37,92.10%,8.77,3.69
694,1 6 12 13,8.38,89.40%,8.45,3.24
695,4 4 7 12,8.38,89.40%,8.75,4.13
696,6 6 8 9,8.38,90.30%,8.64,3.44
697,1 2 2 7,8.39,91.70%,8.72,3.35
698,1 2 6 13,8.4,90.60%,8.88,3.9
699,2 3 3 7,8.4,92.10%,8.85,3.69
700,2 4 7 10,8.4,91.20%,8.67,3.82
701,2 9 12 13,8.4,90.60%,8.82,3.86
702,6 6 9 11,8.4,88.80%,8.82,3.98
703,3 3 7 11,8.41,92.20%,8.7,3.56
704,3 3 8 12,8.41,91.70%,8.97,3.88
705,1 4 9 10,8.42,93.20%,8.85,3.63
706,3 6 8 9,8.42,93.80%,8.82,3.16
707,4 4 6 11,8.42,86.30%,8.51,4.42
708,1 6 10 13,8.44,87.60%,8.63,4.1
709,1 3 4 10,8.45,92.90%,8.73,3.35
710,2 9 10 13,8.45,90.20%,9.07,4.07
711,5 6 10 13,8.45,91.50%,9.12,4.24
712,3 11 12 12,8.46,90.80%,8.71,3.28
713,6 6 8 11,8.47,82.90%,8.3,4.31
714,7 8 8 11,8.48,80.60%,8.17,4.53
715,1 2 7 8,8.49,94.30%,9.01,3.53
716,1 11 13 13,8.49,91.30%,8.83,3.74
717,1 4 6 7,8.5,87.30%,8.78,4.49
718,2 10 11 13,8.5,89.50%,8.58,3.43
719,5 7 8 8,8.5,82.70%,8.43,4.67
720,2 2 3 13,8.51,87.60%,8.54,3.6
721,2 3 10 13,8.51,93.40%,9.02,3.94
722,2 4 6 6,8.52,94.10%,9.27,3.98
723,4 5 6 7,8.54,90.30%,8.94,3.82
724,4 5 8 12,8.54,93.30%,9.08,3.71
725,3 6 7 12,8.55,90%,8.81,3.76
726,3 7 7 13,8.56,93.40%,8.84,3.13
727,1 2 9 13,8.57,93.30%,9.21,4.17
728,2 2 4 13,8.57,91.10%,9.09,4.16
729,4 4 9 11,8.57,82.50%,8.26,4.41
730,1 2 3 11,8.58,95.70%,8.98,3.39
731,2 4 6 9,8.58,91.80%,9.06,4.19
732,2 8 11 12,8.58,88.30%,8.82,4.18
733,4 4 4 11,8.58,86%,8.81,4.65
734,1 2 3 3,8.59,95.50%,8.93,2.98
735,4 5 9 13,8.59,89.30%,9.33,4.75
736,4 6 10 12,8.59,93.80%,9.17,3.92
737,2 4 9 9,8.6,90%,8.71,3.82
738,2 6 6 10,8.61,94.10%,9.05,3.64
739,1 2 5 13,8.62,94.30%,9.16,3.68
740,6 8 9 13,8.62,93.90%,9.3,3.96
741,2 9 11 11,8.63,89.30%,9.08,4.03
742,1 3 9 13,8.65,93.70%,9.25,4.13
743,2 2 8 10,8.65,94.30%,9.26,3.29
744,2 4 7 11,8.66,92.50%,8.98,3.79
745,2 6 7 8,8.66,89.60%,8.97,3.88
746,1 3 4 7,8.67,95%,9.48,3.83
747,4 8 9 11,8.68,93%,9.16,3.89
748,6 6 8 10,8.68,90.10%,8.9,3.96
749,5 5 9 10,8.69,86.90%,9.06,4.3
750,2 3 7 11,8.7,91.70%,9.09,4.21
751,2 8 9 11,8.7,90.50%,9.1,3.77
752,2 4 10 13,8.71,88.90%,9.07,4.43
753,1 3 8 8,8.72,86.50%,8.95,4.51
754,3 9 9 10,8.73,86.70%,8.78,3.81
755,4 11 12 13,8.74,91.20%,9.18,3.87
756,1 2 6 11,8.75,90%,9.19,4.25
757,2 5 7 10,8.75,92.20%,9.15,3.72
758,3 4 7 7,8.75,94%,9.41,3.8
759,6 8 12 12,8.77,91.50%,9.48,4.23
760,2 3 5 9,8.79,92%,9.31,4.31
761,4 4 8 10,8.8,91.40%,9.13,4.36
762,3 7 10 13,8.82,88.20%,9.22,4.63
763,4 5 8 8,8.82,86.40%,8.8,4.02
764,3 4 4 5,8.83,91.10%,9.13,3.95
765,3 5 9 12,8.83,90%,9.14,4.01
766,4 8 8 12,8.83,94.40%,9.39,3.84
767,4 12 12 12,8.83,86%,9.14,4.72
768,2 2 5 6,8.84,88.60%,9.16,4.38
769,9 10 11 13,8.84,89.70%,9.09,3.8
770,2 3 4 13,8.85,90.90%,9.19,3.9
771,3 10 11 12,8.85,89.40%,9.04,3.71
772,4 4 8 13,8.85,86.70%,8.78,4.2
773,5 6 6 10,8.85,88.90%,9.06,3.86
774,1 1 3 10,8.86,88.10%,8.88,3.86
775,1 2 4 5,8.86,90.40%,9.27,4.21
776,1 4 5 10,8.86,91.20%,9.01,3.61
777,2 5 8 13,8.87,93%,9.39,3.91
778,3 5 6 9,8.88,92.50%,9.31,3.67
779,7 8 10 13,8.89,92.10%,9.4,4.08
780,6 6 8 13,8.9,83.80%,8.68,4.24
781,3 9 10 12,8.92,90.20%,9.17,3.63
782,1 2 4 9,8.93,90.80%,9.28,3.92
783,1 3 3 10,8.94,89.60%,9.04,4.1
784,1 5 5 9,8.94,88.40%,9.09,3.7
785,1 4 6 9,8.95,86.10%,8.81,4.02
786,2 3 9 9,8.96,90.50%,9.32,3.95
787,4 4 5 10,8.96,86.30%,9.07,4.66
788,6 6 6 12,8.96,89.50%,9.18,4.48
789,1 3 5 10,8.97,93.20%,9.46,3.7
790,2 11 12 13,8.97,89.80%,9.34,3.94
791,2 2 5 7,8.98,88.90%,9.03,3.68
792,8 8 9 13,8.98,81.20%,8.59,4.69
793,2 2 3 6,8.99,91.60%,9.28,4.01
794,3 4 7 11,8.99,87.30%,9.05,4.58
795,3 5 6 7,8.99,89.50%,9.04,3.8
796,4 5 5 9,8.99,91.30%,9.32,3.88
797,4 7 10 10,8.99,83.90%,8.74,4.08
798,3 6 12 13,9,86.30%,8.93,4.31
799,5 5 6 7,9,90.80%,9.44,4.03
800,6 8 11 13,9,86.30%,9.38,4.5
801,1 5 9 11,9.02,93.10%,9.53,3.93
802,2 10 11 11,9.02,86.40%,9.05,3.99
803,7 12 12 13,9.05,82.60%,8.84,4.09
804,5 10 10 12,9.08,86.70%,9.06,3.56
805,1 5 6 8,9.1,90%,9.15,3.84
806,2 2 3 11,9.1,86.10%,9.11,4.12
807,2 2 5 11,9.1,87.40%,9.42,4.41
808,2 5 8 9,9.1,92.50%,9.42,3.73
809,2 3 4 11,9.11,88.50%,9.26,4.08
810,2 3 6 10,9.11,92.20%,9.33,3.75
811,1 3 5 7,9.13,90%,9.38,4.02
812,1 5 10 13,9.13,88.60%,9.15,3.43
813,5 7 8 9,9.18,88.90%,9.48,4.21
814,5 11 12 12,9.19,82.80%,8.89,4.07
815,8 8 8 13,9.19,84.70%,9.17,4.29
816,3 3 6 11,9.21,90.20%,9.66,4.44
817,3 7 8 9,9.21,86.90%,9.2,3.82
818,2 8 8 10,9.22,92.80%,9.44,3.77
819,4 7 7 11,9.22,87.50%,9.49,4.52
820,2 3 8 12,9.23,93.20%,9.73,3.79
821,3 5 5 9,9.23,83.30%,8.9,4.05
822,5 6 7 12,9.23,84.60%,9.15,4.29
823,2 3 4 4,9.25,94%,9.67,3.57
824,3 3 3 9,9.25,84.50%,9.27,4.67
825,1 2 7 9,9.26,93.30%,9.74,3.81
826,1 9 11 13,9.26,88%,9.47,4.01
827,2 2 6 8,9.27,95.50%,9.69,3.59
828,5 8 9 12,9.29,92.30%,9.72,3.87
829,1 1 4 10,9.3,85.60%,9.15,5.02
830,4 5 10 13,9.3,91.10%,9.74,4.38
831,2 3 3 9,9.31,93.20%,9.71,3.76
832,3 3 4 9,9.34,92.10%,9.67,3.77
833,3 4 6 10,9.34,89.80%,9.84,4.72
834,3 4 6 12,9.34,93.30%,9.85,3.99
835,3 7 7 10,9.34,89%,9.62,4.27
836,3 9 11 12,9.35,90.10%,9.79,4.37
837,2 4 4 7,9.37,89.40%,9.55,4.27
838,3 4 5 9,9.38,84.90%,9.17,4.45
839,4 5 7 12,9.4,87.50%,9.33,3.91
840,2 7 9 13,9.41,87.20%,9.71,4.77
841,5 9 9 11,9.44,89.50%,9.64,3.84
842,6 6 6 8,9.44,91.40%,9.75,4.17
843,1 7 12 12,9.45,80.60%,8.78,4.34
844,1 6 9 10,9.46,91.80%,9.7,3.71
845,2 5 6 10,9.46,88%,9.51,4.42
846,3 8 9 12,9.46,90.20%,9.87,4.4
847,2 3 6 11,9.47,90.20%,9.82,4.38
848,2 4 5 9,9.49,86.30%,9.52,4.62
849,4 7 11 12,9.49,86.30%,9.64,4.7
850,2 2 4 9,9.51,90.50%,9.84,4.3
851,2 6 8 8,9.51,92.50%,9.87,4.08
852,4 5 5 7,9.51,82.40%,9.15,4.34
853,2 3 8 11,9.53,92.70%,10.12,4.06
854,4 7 8 13,9.53,90.70%,9.97,4.28
855,6 6 8 12,9.53,90.80%,9.88,4.21
856,5 6 8 9,9.54,89.90%,9.82,4.35
857,3 3 5 9,9.55,87%,9.56,3.99
858,4 5 7 11,9.55,87.30%,9.77,4.97
859,4 9 12 12,9.56,89.40%,10.06,4.28
860,3 3 6 9,9.57,94.20%,10.28,4.1
861,3 5 9 13,9.57,91.30%,9.91,4.01
862,3 7 8 13,9.57,84%,9.5,4.79
863,4 4 5 7,9.57,85.10%,9.27,4.41
864,1 5 5 11,9.61,88%,9.77,4.11
865,2 4 6 13,9.65,87.20%,9.94,4.99
866,6 7 9 12,9.65,86.80%,9.59,4.66
867,1 5 6 13,9.7,90.30%,10.08,4.65
868,3 8 8 11,9.71,89.50%,9.88,4.57
869,2 3 4 10,9.72,91.90%,10.1,4.16
870,6 6 8 8,9.72,86%,9.63,4.4
871,4 9 9 10,9.73,89.90%,9.98,4.04
872,3 3 7 9,9.74,90.60%,9.91,3.75
873,1 7 9 10,9.78,86.80%,9.74,3.86
874,2 3 9 13,9.79,87.50%,10.07,5.28
875,3 3 3 5,9.79,85.70%,9.46,3.98
876,5 6 9 12,9.79,87.20%,9.84,4.27
877,6 9 10 11,9.8,91.40%,10.13,4.08
878,2 4 5 11,9.82,87.60%,10.03,4.69
879,1 2 5 10,9.83,91.70%,10.06,3.98
880,2 2 2 5,9.85,78.70%,8.96,4.68
881,6 12 13 13,9.85,87.30%,9.92,3.85
882,3 3 6 10,9.87,86.40%,9.7,4.17
883,3 4 8 11,9.88,87.20%,9.9,4.84
884,4 4 6 13,9.88,82.60%,9.4,5.04
885,4 6 7 10,9.88,86.50%,10.04,4.72
886,6 11 11 12,9.89,86.40%,9.76,3.92
887,3 6 9 11,9.91,86.80%,9.87,4.65
888,5 7 9 13,9.94,90.90%,10.39,4.07
889,2 4 12 12,9.95,85.70%,9.97,4.7
890,4 9 11 12,9.96,89%,10.16,4.25
891,7 8 9 13,9.96,84%,9.71,4.26
892,2 6 12 12,9.97,89%,10.49,5.13
893,3 4 5 6,9.97,84%,9.91,4.98
894,6 10 12 12,9.98,88.80%,10.25,4.61
895,5 5 5 9,10,87.60%,9.76,4.11
896,5 5 6 11,10,87.10%,9.97,4.57
897,6 8 9 9,10,86.20%,10.02,4.07
898,3 3 6 13,10.01,86.40%,10.24,5.25
899,6 8 9 11,10.01,84.40%,9.79,4.64
900,1 3 3 11,10.02,88.20%,9.98,4.68
901,4 5 6 10,10.02,90.30%,10.49,4.36
902,1 2 4 7,10.03,89.10%,10.3,4.82
903,2 5 8 11,10.03,85.90%,10.22,5.08
904,3 4 4 13,10.03,88.80%,10.08,4.15
905,6 7 8 9,10.03,84.50%,9.67,4.35
906,1 11 11 13,10.06,87.70%,10.01,4.25
907,1 8 10 11,10.07,86.90%,10.02,3.39
908,2 3 6 9,10.1,93.10%,10.54,4.14
909,1 3 5 9,10.11,90.60%,10.39,4.46
910,3 3 7 12,10.11,84.50%,10.02,5.26
911,4 5 7 9,10.12,86.70%,10.41,5
912,1 2 8 13,10.13,91.30%,10.43,4.73
913,4 6 6 9,10.14,87.60%,10.45,5.26
914,1 4 4 8,10.15,89.70%,10.37,5.43
915,1 5 10 11,10.16,86.30%,9.92,3.62
916,3 4 6 11,10.16,88.90%,10.38,4.56
917,2 4 8 9,10.17,84%,9.9,4.57
918,1 4 5 13,10.18,87.70%,10.29,4.48
919,2 2 7 12,10.19,83.20%,9.78,4.39
920,3 3 6 7,10.19,88.70%,10.6,4.55
921,1 5 9 13,10.2,84.90%,10.1,4.71
922,5 6 7 13,10.2,86.40%,10.44,5.42
923,5 5 8 10,10.21,81.30%,9.68,3.96
924,2 4 6 12,10.23,94.50%,11.06,4.75
925,6 7 8 11,10.24,83.90%,9.96,4.83
926,7 9 9 13,10.26,88%,10.34,4.64
927,3 6 9 12,10.27,92.70%,10.72,4.16
928,6 9 12 13,10.28,88.30%,10.45,4.3
929,4 7 9 13,10.29,84.30%,10.35,5.72
930,5 6 8 12,10.29,87.90%,10.35,4.06
931,2 4 6 7,10.31,90.10%,10.42,4.27
932,2 5 10 10,10.32,78.30%,9.42,3.9
933,6 6 7 12,10.32,83.80%,10.01,4.72
934,6 9 9 11,10.33,82.40%,9.64,5
935,5 8 11 12,10.34,86.90%,10.5,4.16
936,5 6 8 10,10.35,87%,10.31,4.38
937,6 11 12 13,10.36,80.10%,9.55,4.95
938,2 2 8 8,10.38,91.40%,10.72,4.71
939,2 7 12 13,10.44,80.40%,9.67,4.84
940,2 6 8 12,10.45,94%,11.09,4.51
941,3 4 9 13,10.45,79.60%,9.45,5.34
942,4 5 10 12,10.45,86.20%,10.27,4.29
943,1 2 7 11,10.5,88.10%,10.57,4.68
944,4 5 6 8,10.5,87.30%,10.41,4.23
945,6 10 12 13,10.5,82.50%,10.05,4.71
946,1 3 9 9,10.51,85.20%,10.11,4.02
947,1 4 4 11,10.51,86.70%,10.49,5.21
948,2 3 9 10,10.55,90%,10.75,4.18
949,1 2 3 13,10.59,91.70%,10.95,4.79
950,1 6 6 6,10.59,85.60%,10.17,5.05
951,1 2 2 9,10.62,82.40%,9.9,4.48
952,1 3 6 11,10.64,88.10%,10.57,4.29
953,5 10 12 13,10.64,83.50%,10.21,4.41
954,2 3 6 6,10.65,91.90%,11.04,4.36
955,6 7 10 12,10.66,85.20%,10.62,4.7
956,7 8 8 12,10.66,83.60%,10.32,4.47
957,3 4 6 8,10.69,90.70%,11.2,5.02
958,1 7 9 11,10.71,85.10%,10.44,4.24
959,2 3 6 13,10.71,90%,10.81,4.54
960,2 2 5 12,10.72,84.80%,10.48,5.13
961,2 6 8 13,10.72,87.20%,10.87,5.06
962,8 8 10 12,10.72,78.70%,9.71,5.6
963,1 3 8 13,10.73,90.40%,11.06,5.02
964,4 4 7 10,10.74,75.20%,8.92,4.39
965,1 7 10 13,10.75,83.70%,10.33,4.61
966,1 9 10 13,10.76,83%,10.25,4.39
967,3 3 4 11,10.76,88.60%,10.88,5.41
968,2 5 7 7,10.77,82.90%,10.41,4.71
969,3 9 10 13,10.83,83%,10.85,6.21
970,2 3 4 7,10.87,86.70%,10.78,4.85
971,4 4 8 12,10.87,92%,11.49,4.93
972,1 2 6 10,10.89,86.80%,10.8,4.94
973,1 5 12 12,10.9,81.30%,10.12,4.86
974,5 6 6 8,10.92,81.50%,10.49,5.85
975,7 7 8 11,10.95,80.40%,10.02,4.42
976,1 3 7 10,10.97,86.50%,10.9,5.15
977,3 3 9 12,10.97,87%,10.96,4.84
978,3 5 7 10,10.99,84.50%,10.67,5.1
979,4 10 12 13,10.99,81.50%,10.2,5.37
980,2 3 10 12,11,86.40%,11.17,4.04
981,3 4 6 6,11.01,90.50%,11.26,4.63
982,5 8 8 8,11.02,80.20%,10.42,5.19
983,6 8 8 12,11.02,88.10%,11.31,4.99
984,2 3 4 9,11.05,88.20%,11.11,4.67
985,2 6 7 11,11.07,82.60%,10.49,5.02
986,5 9 12 12,11.07,83%,10.77,4.73
987,1 2 7 12,11.1,77.90%,9.65,5.55
988,2 4 5 6,11.11,91%,11.61,4.46
989,5 5 8 13,11.11,80.80%,10.59,4.46
990,2 3 3 10,11.15,84.60%,11.25,4.87
991,3 4 8 12,11.17,87.70%,11.15,5.42
992,2 4 6 11,11.18,85.10%,10.98,5.39
993,2 2 8 9,11.21,87%,11.42,4.95
994,1 5 6 7,11.22,88.70%,11.53,4.63
995,5 8 10 11,11.22,87.10%,10.92,4.73
996,4 4 9 12,11.24,78.30%,10.16,4.72
997,2 5 6 6,11.25,78%,9.88,5.53
998,2 4 9 12,11.26,87.20%,11.26,4.76
999,4 8 11 13,11.28,82.40%,10.45,5.14
1000,4 9 10 13,11.28,82.40%,10.72,4.8
1001,3 3 5 12,11.31,86.70%,11.38,5.1
1002,2 4 4 6,11.32,90.20%,11.66,4.67
1003,2 4 6 8,11.33,93.30%,11.77,4.44
1004,3 4 6 9,11.33,82.50%,10.75,5.42
1005,2 3 4 5,11.35,84.40%,10.97,5.57
1006,3 3 6 12,11.36,86.90%,11.51,6.01
1007,3 6 7 13,11.36,82.50%,10.76,6.05
1008,1 4 7 7,11.38,85.50%,11.25,4.6
1009,4 4 5 11,11.39,85%,11.3,4.82
1010,6 7 9 9,11.41,80.40%,10.68,5.9
1011,7 8 10 10,11.42,79.10%,10.55,4.89
1012,4 8 9 13,11.43,82.70%,10.72,5.97
1013,1 3 4 8,11.45,89.60%,11.57,4.61
1014,8 9 9 12,11.45,82.40%,10.81,4.71
1015,3 7 8 11,11.51,83%,11.11,5.62
1016,4 6 7 12,11.52,81.40%,11.17,5.36
1017,1 6 7 9,11.54,84.40%,11.3,4.67
1018,3 7 9 12,11.54,85.90%,11.56,5.56
1019,4 5 6 13,11.55,78%,10.18,5.07
1020,3 3 5 13,11.57,84.90%,11.35,4.69
1021,2 3 5 7,11.58,88.90%,11.67,4.97
1022,4 6 8 13,11.61,81%,10.84,5.09
1023,2 7 9 11,11.62,83.50%,11.26,5.31
1024,1 3 7 12,11.64,85.40%,10.98,4.98
1025,3 5 7 9,11.66,86.20%,11.44,4.86
1026,2 6 10 13,11.67,84.60%,11.3,5.46
1027,6 8 9 12,11.67,86.60%,11.68,5.06
1028,1 5 7 9,11.68,84.40%,11.15,4.84
1029,1 3 7 7,11.69,85.20%,11.44,4.62
1030,2 9 11 13,11.7,82.20%,11.25,5.36
1031,3 7 9 11,11.7,88.10%,11.82,4.84
1032,4 8 8 10,11.71,85.70%,11.63,5.51
1033,1 4 8 9,11.73,89%,11.9,5.07
1034,2 5 11 12,11.73,77.10%,10.24,5.29
1035,2 3 7 13,11.77,86.30%,11.62,5.24
1036,3 5 10 13,11.79,82.30%,11.04,5.37
1037,3 5 6 10,11.83,85.80%,11.63,5.59
1038,4 5 5 10,11.86,81.20%,10.96,4.46
1039,7 8 9 10,11.86,79.80%,11.04,5.33
1040,2 5 8 10,11.88,82.90%,11.02,4.82
